沐曦 ,天数,海光,,,,,,,,,,,,,,,,,
SOLAR-10.7B-Instruct-v1.0,SOLAR-10.7B-Instruct-v1.0,SOLAR-10.7B-Instruct-v1.0,,,,,,,,,,,,,,,,,
GLM-4-32B-0414,T-lite-it-2.1,Magistral-Small-2506,,,,,,,,,,,,,,,,,
EXAONE-4.0-32B,OpenThinker2-32B,Light-R1-7B-DS,,,,,,,,,,,,,,,,,
Qwen3-Coder-30B-A3B-Instruct,Sky-T1-32B-Flash,Phi-3-medium-128k-instruct,,,,,,,,,,,,,,,,,
Phi-3-mini-128k-instruct,OREAL-32B,Qwen2.5-7B-Instruct,,,,,,,,,,,,,,,,,
,Ring-lite-distill-preview,DeepSeek-R1-Distill-Qwen-32B-Japanese,,,,,,,,,,,,,,,,,
,AReaL-boba-2-32B,Phi-3-mini-128k-instruct,,,,,,,,,,,,,,,,,
,Darwin-9B-NEG-ansulev,sarvam-m,,,,,,,,,,,,,,,,,
,kanana-1.5-8b-instruct-2505,Mistral-Small-24B-Instruct-2501,,,,,,,,,,,,,,,,,
,IndustrialCoder,Nanbeige4.1-3B,,,,,,,,,,,,,,,,,
,OpenReasoning-Nemotron-32B,,,,,,,,,,,,,,,,,,
,Llama-3.1-Tulu-3.1-8B,,,,,,,,,,,,,,,,,,
,Ling-lite-1.5,,,,,,,,,,,,,,,,,,
,OpenReasoning-Nemotron-14B,,,,,,,,,,,,,,,,,,
,Olmo-3.1-32B-Instruct,,,,,,,,,,,,,,,,,,
,Nemotron-Cascade-14B-Thinking,,,,,,,,,,,,,,,,,,
,Midm-2.0-Base-Instruct,,,,,,,,,,,,,,,,,,
,Marco-Mini-Instruct,,,,,,,,,,,,,,,,,,
,Phi-3-medium-128k-instruct,,,,,,,,,,,,,,,,,,
,Rubicon-Preview,,,,,,,,,,,,,,,,,,
,Ring-lite,,,,,,,,,,,,,,,,,,
,Qwopus3.6-27B-Coder,,,,,,,,,,,,,,,,,,
,AceReason-Nemotron-14B,,,,,,,,,,,,,,,,,,
,AReaL-boba-2-14B,,,,,,,,,,,,,,,,,,
,AReaL-boba-2-14B-Open,,,,,,,,,,,,,,,,,,
,Lamarckvergence-14B,,,,,,,,,,,,,,,,,,
,gemma-3-4B-T1-it,,,,,,,,,,,,,,,,,,
,Dria-Agent-a-7B,,,,,,,,,,,,,,,,,,
,Nemotron-Cascade-8B,,,,,,,,,,,,,,,,,,
,OpenR1-Qwen-7B,,,,,,,,,,,,,,,,,,
,OpenThinker-7B,,,,,,,,,,,,,,,,,,
,A.X-4.0-Light,,,,,,,,,,,,,,,,,,
,OpenThinker3-7B,,,,,,,,,,,,,,,,,,
,LFM2.5-1.2B-Thinking,,,,,,,,,,,,,,,,,,
,granite-3.3-2b-instruct,,,,,,,,,,,,,,,,,,
,Phi-4-mini-reasoning,,,,,,,,,,,,,,,,,,
,OpenReasoning-Nemotron-1.5B,,,,,,,,,,,,,,,,,,
,Qwen2.5-72B-Instruct,,,,,,,,,,,,,,,,,,
,Athene-V2-Chat,,,,,,,,,,,,,,,,,,
,Llama-3.1-Nemotron-70B-Instruct-HF,,,,,,,,,,,,,,,,,,
,meta-llama-Llama-3.3-70B-Instruct,,,,,,,,,,,,,,,,,,
,Llama-3-3-3-Nemotron-Super-49B-v1,,,,,,,,,,,,,,,,,,
,DeepSeek-R1-Distill-Llama-70B,,,,,,,,,,,,,,,,,,
,Llama-3-3-3-Nemotron-Super-49B-v1-5,,,,,,,,,,,,,,,,,,
,QwQ-32B,,,,,,,,,,,,,,,,,,
,TinyR1-32B-Preview,,,,,,,,,,,,,,,,,,
,MiroThinker-v1.5-30B,,,,,,,,,,,,,,,,,,
,Fathom-R1-14B,,,,,,,,,,,,,,,,,,
